Position,Name,Number,Team,Games Active,Games Played,Field Goals Made,Field Goal Percentage,Extra Points Made,Field Goals Attempted,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+
K,Matt Prater,5,ARI,4,4,10.1,100.7,6.3,11.2,0.0,1.3,5.0,2.5,2.5
K,Graham Gano,9,NYG,4,4,5.0,74.6,5.0,7.5,0.0,0.0,1.3,1.3,2.5
K,Blake Grupe,19,NO,4,4,10.1,100.7,6.3,11.2,0.0,5.0,3.8,1.3,1.3
K,Chad Ryland,37,NE,4,4,5.0,63.9,6.3,8.8,0.0,1.3,0.0,2.5,1.3
K,Jake Moody,4,SF,4,4,10.1,111.9,15.7,10.1,0.0,5.0,2.5,2.5,1.3
K,Anders Carlson,17,GB,4,4,6.3,111.9,10.1,6.3,0.0,0.0,3.8,0.0,2.5
K,Cameron Dicker,11,LAC,4,4,7.5,95.9,13.4,8.8,0.0,2.5,3.8,0.0,1.3
K,Evan McPherson,2,CIN,4,4,8.8,87.1,5.0,10.1,0.0,2.5,0.0,3.8,2.5
K,Riley Patterson,36,DET,4,4,6.3,111.9,14.5,6.3,0.0,1.3,5.0,0.0,0.0
K,Tyler Bass,2,BUF,4,4,10.1,111.9,17.9,10.1,0.0,1.3,5.0,1.3,3.8
K,Chase McLaughlin,4,TB,4,4,8.8,97.9,8.8,10.0,0.0,3.8,2.5,0.0,2.5
K,Joey Slye,6,WAS,4,4,7.5,83.9,10.1,10.0,0.0,1.3,2.5,2.5,1.3
K,Matt Gay,7,IND,4,4,7.5,95.9,10.1,8.8,0.0,0.0,1.3,1.3,5.0
K,Greg Joseph,1,MIN,4,4,2.5,111.9,13.4,2.5,0.0,2.5,0.0,0.0,0.0
K,Eddy Piñeiro,4,CAR,4,4,10.0,99.5,6.3,10.1,0.0,1.3,1.3,3.8,3.8
K,Jason Sanders,7,MIA,4,4,5.0,74.6,20.1,7.5,0.0,2.5,0.0,2.5,0.0
K,Daniel Carlson,2,LV,4,4,5.0,111.9,7.5,5.0,0.0,3.8,0.0,1.3,0.0
K,Younghoe Koo,6,ATL,4,4,8.8,97.9,6.3,10.0,0.0,3.8,2.5,2.5,0.0
K,Harrison Butker,7,KC,4,4,10.0,111.9,12.3,10.0,0.0,1.3,7.5,1.3,0.0
K,Jake Elliott,4,PHI,4,4,14.5,104.0,10.1,15.7,0.0,2.5,5.0,3.8,5.0
K,Wil Lutz,16,DEN,4,4,7.5,95.9,11.2,8.8,0.0,2.5,3.8,0.0,1.3
K,Ka'imi Fairbairn,15,HOU,4,4,12.3,102.6,10.1,13.4,0.0,3.8,10.0,0.0,0.0
K,Jason Myers,5,SEA,4,4,10.1,77.4,11.2,14.5,0.0,1.3,7.5,2.5,0.0
K,Cairo Santos,8,CHI,4,4,5.0,111.9,8.8,5.0,0.0,2.5,0.0,1.3,1.3
K,Chris Boswell,9,PIT,4,4,8.8,111.9,6.3,8.8,0.0,1.3,1.3,2.5,3.8
K,Brett Maher,8,LAR,4,4,13.4,83.9,10.0,17.9,0.0,1.3,3.8,6.3,3.8
K,Brandon McManus,10,JAX,4,4,10.0,89.5,10.0,11.2,0.0,1.3,3.8,3.8,1.3
K,Dustin Hopkins,7,CLE,4,4,10.0,99.5,5.0,10.1,0.0,0.0,1.3,5.0,3.8
K,Justin Tucker,9,BAL,4,4,5.0,74.6,12.3,7.5,0.0,0.0,1.3,2.5,1.3
K,Nick Folk,6,TEN,4,4,11.2,111.9,7.5,11.2,0.0,2.5,3.8,3.8,2.5
K,Brandon Aubrey,17,DAL,4,4,14.5,111.9,10.1,14.5,0.0,8.8,5.0,1.3,1.3
K,Greg Zuerlein,9,NYJ,3,3,6.3,93.2,3.8,7.5,0.0,1.3,2.5,1.3,1.3
