Position,Name,Number,Team,Games Active,Games Played,Punts,Punt Yards,Punt Average
P,Thomas Morstead,5,NYJ,4,4,24.6,1162.6,52.8
P,Bryan Anger,5,DAL,4,4,11.2,576.3,57.6
P,Ethan Evans,42,LAR,4,4,13.4,651.3,54.3
P,Brad Robbins,10,CIN,4,4,25.7,1115.6,48.5
P,Bryce Baringer,17,NE,4,4,24.6,1079.8,49.1
P,Daniel Whelan,19,GB,4,4,20.1,962.3,53.5
P,Ryan Wright,14,MIN,4,4,16.8,867.2,57.9
P,Ryan Stonehouse,4,TEN,4,4,19.0,984.7,58.0
P,Jordan Stout,11,BAL,4,4,23.5,1151.5,54.8
P,Trenton Gill,16,CHI,4,4,17.9,853.8,53.4
P,Jake Camarda,5,TB,4,4,20.1,1072.0,59.5
P,Tommy Townsend,5,KC,4,4,13.4,663.6,55.3
P,AJ Cole,6,LV,4,4,15.7,815.8,58.3
P,Jack Fox,3,DET,4,4,17.9,815.8,51.0
P,Jamie Gillan,6,NYG,4,4,19.0,956.7,56.3
P,Jake Bailey,16,MIA,4,4,10.0,411.8,51.5
P,Mitch Wishnowsky,18,SF,4,4,12.3,564.0,51.3
P,Corey Bojorquez,13,CLE,4,4,25.7,1209.6,52.6
P,Logan Cooke,9,JAX,4,4,16.8,805.7,53.7
P,JK Scott,16,LAC,4,4,17.9,728.5,45.5
P,Michael Dickson,4,SEA,4,4,14.5,777.7,59.9
P,Rigoberto Sanchez,8,IND,4,4,23.5,1058.6,50.4
P,Riley Dixon,9,DEN,4,4,15.7,683.7,48.8
P,Bradley Pinion,13,ATL,4,4,21.3,1060.8,55.8
P,Sam Martin,8,BUF,4,4,8.8,400.6,57.2
P,Tress Way,5,WAS,4,4,19.0,891.8,52.5
P,Johnny Hekker,10,CAR,4,4,22.4,1096.6,54.8
P,Lou Hedley,39,NO,4,4,23.5,1013.8,48.2
P,Pressley Harvin III,6,PIT,3,3,21.3,1003.7,52.8
